"",".Dorms&GreeksMainList","School.Lookup.Table",".Town",".School.Lat",".School.Long",".Early.Voting.Name",".Early.Voting.Address",".EV.Lat",".EV.Long",".Miles.to.EV",".Walk.to.EV",".Dorm.Type.Spcfc",".is.greek",".Dorm.Name",".Dorm.Address",".Dorm.Lat",".Dorm.Long",".Mlbx.Name",".Mlbx.Address",".Ward",".PP.Name",".Polling.Place",".PP.Lat",".PP.Long"
"1","Alverno","Alverno","Milwaukee","45.5586° N","84.3917° W","American Serb Hall","5101 W Oklahoma Ave
Milwaukee City, WI",NA,NA,0.9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alverno - Austin","Alverno","Milwaukee","45.5586° N","84.3917° W","American Serb Hall","5101 W Oklahoma Ave
Milwaukee City, WI",NA,NA,0.9,18,"Campus",NA,"Austin Hall","3390 S. 43rd Street 
Milwaukee, WI 53219",42.9840401,-87.9655873999999,NA,NA,270,"Audubon School","3300 S 39Th St.
Milwaukee, WI 53215",42.984251,-87.9621186
"3","Beloit - Phi Kappa Psi (WI Gamma)","Beloit College","Beloit","42.5030° N","89.0309° W","Beloit City Hall.","100 State St. 
Beloit, WI",NA,NA,1,20,"Frat",TRUE,"Phi Kappa Psi (Gamma Chapter)","810 College St.
Beloit, WI 53511",42.505144,-89.029907,NA,NA,12,"First Congregational Church","801 Bushnell St.
Beloit, WI 53511",42.5018657,-89.0278649
"4","Beloit - Sigma Chi (Alpha Zeta)","Beloit College","Beloit","42.5030° N","89.0309° W","Beloit City Hall.","100 State St. 
Beloit, WI",NA,NA,1,20,"Frat",TRUE,"Sigma Chi (Alpha Zeta)","834 College St.
Beloit, WI 53511",42.5055634,-89.0299553999999,NA,NA,12,"First Congregational Church","801 Bushnell St.
Beloit, WI 53511",42.5018657,-89.0278649
"5","Beloit - Tau Kappa Epsilon (Kappa Chapter)","Beloit College","Beloit","42.5030° N","89.0309° W","Beloit City Hall.","100 State St. 
Beloit, WI",NA,NA,1,20,"Frat",TRUE,"Tau Kappa Epsilon (Kappa Chapter)","846 College St.
Beloit, WI 53511",42.5061387,-89.0299928,NA,NA,12,"First Congregational Church","801 Bushnell St.
Beloit, WI 53511",42.5018657,-89.0278649
"6","Beloit College","Beloit College","Beloit","42.5030° N","89.0309° W","Beloit City Hall.","100 State St. 
Beloit, WI",NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First Congregational Church","801 Bushnell St. Beloit 53511",42.5018657,-89.0278649
"7","Cardinal Stritch - Assisi Hall","Cardinal Stritch - Assisi Hall","Glendale","43.1400° N","87.9090° W","Glendale City Hall","5909 N Milwaukee River Rd.
Glendale, WI 53209",NA,NA,2,NA,"Campus",NA,"Assisi Hall","6750 N Yates Rd
Fox Point, WI 53217",43.1396263,-87.9058008,NA,NA,NA,NA,NA,NA,NA
"8","Cardinal Stritch - Clare Hall","Cardinal Stritch - Clare Hall","Fox Point","43.1400° N","87.9090° W","Fox Point Village Hall","7200 N Santa Monica Blvd 
Fox Point, WI 53217",NA,NA,0.9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"`=",NA,NA
"9","Carroll","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Carroll - Carroll Street Apartments","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Carrol Street Apartments","225 Carroll St.
Waukesha, WI 53186",43.0072962,-88.2302194999999,NA,NA,34,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"11","Carroll - Charles Street Hall","Carroll","Waukesha","43.0045° N","88.228° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Charles Street Hall","201 N. Charles St 
Waukesha, WI 53186",43.0042044,-88.2241703999999,NA,NA,24,"St. Mary's Church, Voting Room: Community Room, Lower Level","225 S Hartwell Ave
Waukesha, WI 53186",42.9997087,-88.2206317999999
"12","Carroll - College Avenue Apartments","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"College Avenue Apartments","245 W. College Ave
Waukesha, WI 53186",43.0026483,-88.231551,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"13","Carroll - Frontier Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Frontier Hall","210 N. Grand Ave
Waukesha, WI 53186",43.0041782,-88.2323117999999,NA,NA,34,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"14","Carroll - Hartwell A Apartments","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Hartwell A Apartments","334 N. Hartwell Ave
Waukesha, WI 53186",43.0067463,-88.2220775,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"15","Carroll - Hartwell B Apartments","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Hartwell B Apartments","332 N. Hartwell Ave
Waukesha, WI 53186",43.0067653,-88.2228768,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"16","Carroll - Hartwell C Apartments","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Hartwell C Apartments","331 Barney St. 
Waukesha, WI 53186",43.0066253,-88.2236377,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"17","Carroll - Hartwell D Apartments","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Hartwell D Apartments","325 Barney St.
Waukesha, WI 53186",43.0067165,-88.2246409999999,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"18","Carroll - Kilgour Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Kilgour Hall","119 E. College Ave.
Waukesha, WI 53186",43.0026735,-88.2258064,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"19","Carroll - North Bergstrom Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"North Bergstrom Hall","135 S. East Ave
Waukesha, WI 53186",43.0016545,-88.2263603999999,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"20","Carroll - Pioneer Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Pioneer Hall","324 W. College Ave
Waukesha, WI 53186",43.0033934,-88.2331107,NA,NA,34,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"21","Carroll - Prairie Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Prairie Hall","304 W. College Ave
Waukesha, WI 53186",43.0032462,-88.2322313999999,NA,NA,34,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"22","Carroll - Shirley Hilger Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"Shirley Hilger Hall","200 E. College Ave
Waukesha, WI 53186",43.0032149,-88.2252378,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"23","Carroll - South Bergstrom Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,"Campus",NA,"South Bergstrom Hall","151 S. East Ave
Waukesha, WI 53186",43.0012047,-88.2264268,NA,NA,33,"E & R Ucc Church","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"24","Carroll - Steele Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,NA,NA,"Steele Hall","221 N. East Ave. Waukesha, WI 53186",43.0047665,-88.2262855,NA,NA,NA,"E&R UCC Church, 413 Wisconsin Ave.,Waukesha, WI 53186","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"25","Carroll - Swarthout Hall","Carroll","Waukesha","43.0043° N","88.2285° W","Waukesha City Hall","201 Delafield St.
Waukesha, WI 53188",NA,NA,1,20,NA,NA,"Swarthout Hall","221 N. East Ave.  Waukesha, WI 53186",43.0047665,-88.2262855,NA,NA,NA,"E&R UCC Church, 413 Wisconsin Ave.,Waukesha, WI 53186","413 Wisconsin Ave
Waukesha, WI 53186",43.0093789,-88.2349832
"26","Carthage College","Carthage College","Kenosha","42.6234° N","87.8220° W","Municipal Building","625-52nd Street, Room 104 
Kenosha, WI 53140",NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenosha Civil War Museum 5400 1st Ave, Kenosha, WI 53140","5400 1st Ave
Kenosha, WI 53140",42.58712,-87.813
"27","Chippewa Valley TC - Chippewa Falls Campus","Chippewa Valley TC - Chippewa Falls Campus","Chippewa Falls","45.046° N","91.1750° W","City Hall","30 West Central
Chippewa Falls, WI",NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","College of Menominee Nation - Keshena Campus","College of Menominee Nation - Keshena Campus","Keshena","44.7959° N","88.9250° W","County Clerks office","w3269 Courthouse lane
Keshena, WI 54135",NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Concordia","Concordia","Mequon","43.2543° N","87.9155° W","Mequon City Hall","11333 N Cedarburg Rd.
Mequon, WI 53092",NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Edgewood","Edgewood","Madison","43.0607° N","89.4233° W","Edgewood College - Wingra Commons","1000 Edgewood College Dr.
Madison, WI",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Edgewood - Dominican","Edgewood","Madison","43.0607° N","89.4233° W","Edgewood College - Wingra Commons","1000 Edgewood College Dr.
Madison, WI",NA,NA,0,0,NA,NA,"Dominican Hall","1014 Edgewood College Dr, Madison, WI 53711",43.0595308,-89.4199044,NA,NA,70,"Edgewood College Rennebohm Library","959 Edgewood College Dr",43.0569625,-89.4228761
"32","Edgewood - Siena","Edgewood","Madison","43.0607° N","89.4233° W","Edgewood College - Wingra Commons","1000 Edgewood College Dr.
Madison, WI",NA,NA,0,0,NA,NA,"Siena Hall","2302 Edgewood Dr, Madison, WI 53711",43.0589599,-89.4194977,NA,NA,NA,NA,NA,NA,NA
"33","Lakeland U","Lakeland","Plymouth","43.8419° N","87.8848° W","Herman Town Hall","N8139 Franklin Rd.
Plymouth, WI 53073",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Lawrence","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Lawrence - Big Exec","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Big Exec","300 South Meade St.
Appleton, WI 54911",44.2597913,-88.3947451,NA,NA,12,"Memorial Presbyterian Church, Voting Room: Fellowship Hall - Lower Level","803 E College Ave
Appleton, WI 54911",44.2614536,-88.3945555999999
"36","Lawrence - Brokaw Hall","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Brokaw Hall","115 South Drew St.
Appleton, WI 54911",44.2611071,-88.4015283,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"37","Lawrence - Hiett","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Hiett Hall","403 East College Ave
Appleton, WI 54911",44.2601788,-88.4007779,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"38","Lawrence - Ormsby","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Ormsby Hall","401 East College Ave
Appleton, WI 54911",44.2605399,-88.4006568,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"39","Lawrence - Plantz","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Plantz Hall","600 East College Ave 
Appleton, WI 54911",44.2621265999999,-88.397701,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"40","Lawrence - Quad 203 N Union St","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 203 N Union","203 N. Union St.
Appleton, WI 54911",44.263157,-88.3986295,NA,NA,12,"Memorial Presbyterian Church, Voting Room: Fellowship Hall- Lower Level","803 E College Ave
Appleton, WI 54911",44.2614536,-88.3945555999999
"41","Lawrence - Quad 206 S Lawe St","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 206 S Lawe","206 S. Lawe St.
Appleton, WI 54911",44.2607079,-88.3967914999999,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"42","Lawrence - Quad 218 S. Lawe Street","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 218 S. Lawe","218 S. Lawe St.
Appleton, WI 54911",44.2603379,-88.3967914999999,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"43","Lawrence - Quad 711 E. Alton Street","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 711 E. Alton","711 E. Alton St.
Appleton, WI 54911",44.2607578,-88.3963936,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"44","Lawrence - Quad 712 E. Boldt Way","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 712 E. Boldt","712 E. Boldt Way
Appleton, WI  54911",44.2603133,-88.3963557,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"45","Lawrence - Quad 726 E. Boldt Way","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 726 E. Boldt","726 E. Boldt Way
Appleton, WI",44.2602319,-88.3958251,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"46","Lawrence - Quad 733 East Alton Street","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 733 East Alton","733 East. Alton St.
Appleton, WI 54911",44.2607692,-88.395882,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"47","Lawrence - Quad 738 E. Boldt Way","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 738 E. Boldt","738 E. Boldt Way
Appleton, WI 54911",44.260344,-88.3954830999999,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"48","Lawrence - Quad 741 E. Boldt Way","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 741 E. Boldt","741 E. Boldt Way
Appleton, WI 54911",44.2600207,-88.3952755999999,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"49","Lawrence - Quad 742 E. Boldt Way","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Quad 742 E. Boldt","742 E. Boldt Way
Appleton, WI 54911",44.2603441,-88.3952511999999,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"50","Lawrence - Sage","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Sage Hall","723 East Boldt Way
Appleton, WI 54911",44.2597353,-88.3960336,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"51","Lawrence - Small Exec","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Small Exec","813 East John St.
Appleton, WI 54911",44.2599339,-88.3943661,NA,NA,12,"Memorial Presbyterian Church, Voting Room: Fellowship Hall- Lower Level","803 E College Ave
Appleton, WI 54911",44.2614536,-88.3945555999999
"52","Lawrence - Trever","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Trever Hall","815 East South St.
Appleton, WI 54911",44.2588249999999,-88.3944418999999,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"53","Lawrence -Colman","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Colman Hall","212 South Durkee St.
Appleton, WI 54911",44.2603798,-88.4024377,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"54","Lawrence -Kohler","Lawrence","Appleton","45.4401° N","87.3869° W","Appleton City Hall","100 N Appleton St.
Appleton, WI 54911",NA,NA,0.3,6,"Campus",NA,"Kohler Hall","718 East Alton St.
Appleton, WI 54911",44.2615154999999,-88.3963368,NA,NA,31,"Saint Joseph Parish Center","404 W Lawrence St.
Appleton, WI 54911",44.2610918,-88.4110761
"55","Madison College","Madison College","Madison","43.1210° N","89.3327° W","East Madison Community Center","8 Straubel St
Madison, WI 53704",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Marquette","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Marquette - Abbottsford Hall","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,"Campus",NA,"Abbottsford Hall","722 N 13th St. 
Milwaukee, WI 53233",43.039312,-87.9283095999999,NA,NA,186,"Wisconsin Conservatory Of Lifelong Learning","1017 N 12Th St.
Milwaukee, WI 53233",43.0437456,-87.9281180999999
"58","Marquette - Carpenter Tower","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,"Campus",NA,"Carpenter Tower","1032 W Wisconsin Ave 
Milwaukee, WI 53233",43.0389585,-87.9256644,NA,NA,186,"Wisconsin Conservatory Of Lifelong Learning","1017 N 12Th St.
Milwaukee, WI 53233",43.0437456,-87.9281180999999
"59","Marquette - Cobeen Hall","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,"Campus",NA,"Cobeen Hall","1111 W Wells St. 
Milwaukee, WI 53233",43.039442,-87.9260285,NA,NA,186,"Wisconsin Conservatory Of Lifelong Learning","1017 N 12Th St.
Milwaukee, WI 53233",43.0437456,-87.9281180999999
"60","Marquette - Humphrey Hall","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,"Campus",NA,"Humphrey Hall","1716 W Wisconsin Ave 
Milwaukee, WI 53233",43.0392478,-87.9346192,NA,NA,187,"Marquette University Alumni Union","1442 W Wisconsin Ave
Milwaukee, WI 53233",43.0396268,-87.9309739999999
"61","Marquette - Mashuda Hall","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,"Campus",NA,"Mashuda Hall","1926 W Wisconsin Ave 
Milwaukee, WI 53233",43.0389468,-87.9373782,NA,NA,335,"Marquette University Alumni Union","1442 W Wisconsin Ave
Milwaukee, WI 53233",43.0396268,-87.9309739999999
"62","Marquette - O'Donnell Hall","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,NA,NA,"O'Donnell Hall","725 N 18th St.
Milwaukee, WI 53233",43.0394514,-87.9360461999999,NA,NA,187,"Marquette University Alumni Union","1442 W Wisconsin Ave
Milwaukee, WI 53233",43.0396268,-87.9309739999999
"63","Marquette - Schroeder  Hall","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,"Campus",NA,"Schroeder Hall","725 N 13th St. 
Milwaukee, WI 53233",43.0395548,-87.9291523,NA,NA,186,"Wisconsin Conservatory Of Lifelong Learning","1017 N 12Th St.
Milwaukee, WI 53233",43.0437456,-87.9281180999999
"64","Marquette - Straz Tower","Marquette","Milwaukee","43.0387° N","87.9310° W","Frank P. Zeidler Municipal Building","841 N Broadway
Milwaukee, WI 53202",NA,NA,1,20,"Campus",NA,"Straz Tower","915 W Wisconsin Ave 
Milwaukee, WI 53233",43.0378265,-87.9237512999999,NA,NA,183,"Central Library - Centennial Hall, Voting Room: Centennial Hall","733 N 8Th St.
Milwaukee, WI 53233",43.0397681,-87.9220658
